QuestionType,Asin,AnswerTime,UnixTime,Question,AnswerType,Answer,Category
yes/no,B0002YTM0I,"Apr 10, 2014",1397113200.0,"Hi, the specification says it is 30 inch. My old range is actually 29.75 inch. Has anyone actually measured the exact length? 30 inch won't fit.",?,i agree with aaron 29 7/8,Appliances
open-ended,B0002YTM0I,"May 1, 2014",1398927600.0,This is my first range hood. Do I need to purchase anything else with this purchase? Or do anything I need to install range hood come with it?,,"As I recall, it came with all the necessary hardware. You'll need tools like a drill and screwdriver, of course. I needed to add some wood furring strips to the underside of my cabinet to make it a flush mount, but I had the wood at home already, so I didn't need to purchase any.",Appliances
open-ended,B0002YTM0I,"May 7, 2013",1367910000.0,Does this come with the filter or do I have to buy filter separtely,,"Yes, mine did",Appliances
yes/no,B0002YTM0I,"Nov 7, 2013",1383811200.0,Is the charcoal filter a separate accessory from the aluminium mesh?,?,"The filter that came with the range hood was a one-piece unit, with the aluminum mesh on the exposed side and the filtering material inside. The filtering material against the aluminum mesh is black (carbon fiber?); the backside is blue. There are no grains of carbon, as there used to be in the 2-piece filter for my old range hood.",Appliances
yes/no,B0002YTM0I,"Dec 18, 2014",1418889600.0,I want to mount it to the wall with no cabinet above it using L brackets. Would this be ok to do?,Y,"If only L brackets are used in the back, I'd say no. There's extra holes in the top and rear so at minimum, I'd secure the rear to wall studs with extra screws. The weight is more center/front and my concern is over time it would droop forward. It's designed to mount under a cabinet. If there is something to mount the sides to it would work better.",Appliances
open-ended,B0002YTM0I,"Jun 10, 2014",1402383600.0,what type of cover is over the light bulb ?,,"It's just a plastic diffuser. It locks into a couple of slots in the hood. You squeeze the two sides together to release tabs on the sides of the diffuser from the slots in the hood. Takes a standard base, 60watt or small CFL bulb.",Appliances
open-ended,B0002YTM0I,"Nov 11, 2013",1384156800.0,can anyone please tell me what the depth of the unit is from the back to just where the grills and switches are.,,"12"".",Appliances
open-ended,B0002YTLZY,"Mar 13, 2014",1394694000.0,what is the CFM or power?,,"The Broan 4130 is not rated for CFM because it is a non ducted hood. Probably about 100-150 cfm fan, 2850 rpm. You don't want too much air blowing back in your face anyway. I hope this helps.",Appliances
yes/no,B0002YTLZY,"Apr 2, 2014",1396422000.0,does it come with a power cord/,N,No. Unfortunately you would have to purchase the cord at a home depo or any hardware store for about $5.,Appliances
yes/no,B0002YTLZY,"Sep 3, 2013",1378191600.0,I have no above cabinet......can I install on wall???,?,"I wouldn't. There are 4 holes on the back, but the metal of the hood isn't very thick and wouldn't support much weight. A cheap solution would be to get piece of shelving the size of the hood with two brackets mounted to the wall upside down and mount the hood to the bottom of the shelf. This will give you some extra storage space as well.",Appliances
yes/no,B0002YTLZY,"Jan 4, 2015",1420358400.0,Does it get rid of kitchen smoke...that's what I need. My kitchen doesn't have an exhaust fan and every time I cook it smokes up the house.,Y,"Yes it does. I don't have an exhaust fan either, so this takes care of it. Diana D.",Appliances
open-ended,B0002YTLZY,"Mar 13, 2014",1394694000.0,Can this be powered from an outlet plug or do I have to hard-wire it in?,,"Use ""Broan HCK44 Power Cord Kit on individual display card"" by Broan-NuTone Amazon $8.97 3 ft cord to convert from hard wired.",Appliances
open-ended,B0002YTLZY,"Mar 7, 2015",1425715200.0,It comes with a carbon filter?,,No,Appliances
yes/no,B0002YTLZY,"Feb 27, 2015",1425024000.0,does it plug in to a regular 110 outlet?,Y,It could. It didn't come with wire or a plug but it's VERY simple. If you have ever replaced an outlet or the plug end of a cord you can install this.,Appliances
yes/no,B0002YTLZY,"Jan 8, 2015",1420704000.0,"Is the hood exactly 30"" wide? Our space above the range is just under 30"", and I'm afraid we'll have to order the 24"" if the dimensions are exact.",Y,"Yes, it is 30"" wide. Thanks.",Appliances
open-ended,B0002YTLZY,"Dec 1, 2014",1417420800.0,How much clearence do I need to leave above the stovetop?,,"Mine is like 18"" from the stove top.",Appliances
yes/no,B0002YTLZY,"Nov 29, 2014",1417248000.0,Can you clean spattered egg yolk off of it? Mine is uncleanable and it's white!,N,No,Appliances
open-ended,B0002YVK2Q,"Jul 12, 2013",1373612400.0,How long have you had your hoses and have you experienced any leaks or leaking fittings?,,"I've had my hoses for a few months, and I have not had any leaking, at all. The fittings have a very good rubber washer, which will hold up for years to come. These hoses have a 5 year warranty, but will last for a lot more than that. Braided hoses are the best for any kind of plumbing, as they are not prone to bursting, like none braided hoses are. Fluidmaster is the best brand.",Appliances
yes/no,B0002YVK2Q,"Mar 14, 2013",1363244400.0,Does this ship with a quantity of two hoses for the current listed price?,Y,yes,Appliances
open-ended,B0002YVK2Q,"Dec 15, 2013",1387094400.0,Are they color coded ? Red for hot blue for cold ?,,No they are not,Appliances
open-ended,B0002YVK2Q,"Jun 25, 2014",1403679600.0,What is the inside diameter of these hoses?,,"I think it was 1/2"". They work fine.",Appliances
yes/no,B0002Z1GG0,"Jan 26, 2015",1422259200.0,Will original drawers work with this in a GE model TBX14SYXKLWH?,?,"I believe so, mine did just fine.",Appliances
open-ended,B0002Z1GG0,"Aug 6, 2014",1407308400.0,Where do I find the part number for the fridge or the missing shelf?,,The model number for my refrigerator was on the inside of the refrigerator on the left. Type in the brand and model # for your fridge in an internet search for parts and you should find the corresponding shelf #. My model # is GE Hotpoint CTX14CYXKRAD,Appliances
yes/no,B0002Z1GG0,"Apr 20, 2014",1397977200.0,Will it work with model #PS890565 also will the original drawers fit,Y,All I know is that it works fine with model ctx16cayrrwh and the original drawers with that model fit.,Appliances
yes/no,B0002Z1GG0,"Dec 11, 2013",1386748800.0,Would this work on my hotpoint model ctx14cytgrwh?,?,"Sorry, don't know.",Appliances
yes/no,B0002Z1GG0,"Dec 10, 2013",1386662400.0,would this work on my hotpoint model ctx14ayxkrwh serial hr749157 refrigerator do the drawers slide into slots ?,?,the drawers do fit into the slots.,Appliances
open-ended,B0002Z1EXA,"Jul 15, 2014",1405407600.0,Can you confirm if this Kenmore Refrigerator Icemaker Ice Maker &amp; Water Valve 4318047 part fits on model 253.53679303 Kenmore,,"Yes, but I have not tested it yet. Thank you.",Appliances
yes/no,B0002Z1EXA,"Nov 18, 2014",1416297600.0,does this fit Kenmore model 59672252200,Y,Yes,Appliances
open-ended,B0002Z1EXA,"Nov 20, 2013",1384934400.0,Im looking to replace water supply line and water dispenser for kenmore 106.59592992,,go to you tube and type inwater supply line and water dispenser for kenmore 106.59592992 they tell you where to get the part and how to put it in it worked for me,Appliances
yes/no,B0002Z1EXA,"Mar 3, 2015",1425369600.0,does this work on a kenmore elite freezer ice maker model25344733100,?,"It did not work on our refrigerater and the company would not let me return it. They kept telling us that it did and it did not. We eventually took our part and seperated it where it was leaking and used some good glue and it has worked fine since then. I was disappointed that they would not accept a return. I guess if it leaks again and we can't fix it , we can turn off the icemaker and use old ice cube trays!!!!!",Appliances
yes/no,B0002Z1EXA,"Sep 5, 2014",1409900400.0,Does this fit model 106. 595592992 kenmore,?,"Not familiar with your model number, it appears you have too many numbers in model number believe you should only have 10 total numbers in model no. iyou order from Amazon. in shearch block enter you model no and they will direct you to the proper item./..your Fridge shud have several parts pre installed if it can accept an ice maker....good luck",Appliances
yes/no,B0002Z1EXA,"Aug 17, 2014",1408258800.0,Will this part replace 2182104 ?,?,"Hello Ellen, If you contact whirlpool they will be able to guide you on your question. I would rather you buy the part you need perhaps from amazon. From what I observed , the cost is virtually the same. As a do it yourselfer that I am, I would purchase the correct part.",Appliances
yes/no,B0002Z1EXA,"Aug 6, 2014",1407308400.0,does this part work with Kenmore model 596.79872990?,Y,If your part looks like exactly this it should work. The part I received was identical to the photo. My fridge is a Whirlpool who makes Kenmore for Sears.....The green solenoid part adjusts (turns) to several positions.,Appliances
yes/no,B0002Z1EXA,"Jul 11, 2014",1405062000.0,Will this valve work a Kenmore model #795.7840,Y,Yes just follow directions the only thing it will be 24 to 36 hours for the ice maker to reset if you disconnected the ice maker,Appliances
yes/no,B0002Z1EXA,"Jul 8, 2014",1404802800.0,Will this part work on a Magic Chef RC 20L - 2A. It looks very similar to the one I removed.,Y,If it will fit on your fridge it will work.,Appliances
open-ended,B0002Z1EXA,"May 30, 2014",1401433200.0,I need a water supply valve for a kenmore 106.50252000 will this part work?,,"Can't say for sure, I used it on a Sub Zero built-in where it was mounted outside of the box; seems to be a standard type valve.",Appliances
open-ended,B0002Z1GLA,"Aug 9, 2014",1407567600.0,my icemaker now makes chuncks of ice then stops but a lot of my freezer is coated with ice. is this from the icemaker or the water valve?,,"The water valve is controlled by the ice maker. Mine stuck on over night and caused a flood. There is about a 7 second ""fill"" as the ice maker cycles. You may want to check to see if it cycles, does it get all the ice out before filling again. If it iver fills it will spill into the feezer and make icecycles.",Appliances
yes/no,B0002Z1GLA,"Jan 1, 2014",1388563200.0,Will this work with a Kenmore Refrigerator #106.50522100 ?,Y,WE have a whirlpool and it works so it should they are the same company,Appliances
open-ended,B0002Z1GLA,"Mar 26, 2015",1427353200.0,What is the warranty period/policy on this product? I've had it for 5 months and it has suddenly stopped working (not sending signal to solenoid),,"Check with the manufacturer: I do not remember what warranty it had. Mine has worked for nearly 2 years, flawlessly.",Appliances
open-ended,B0002Z1GLA,"Sep 26, 2014",1411714800.0,What would cause the water line to turn on off on off while filling? I too have been having trouble with the ice maker over filling.,,"The new ice maker should not do that, I installed one and it worked perfectly and cranked tons of ice. You do need to make sure it is plugged in properly and there is no damage to the power cable or connectors. I think I left my old cable and reconnected it to the unit and it worked fine.",Appliances
yes/no,B0002Z1GLA,"May 4, 2014",1399186800.0,does it have a cycle time adjustment,N,The cycles are controlled by a synchronous motor (60 Hz) and cycle control gear. I do not believe there is an adjustment to control the cycle times due to the control wheel gear and switching mechanism.,Appliances
yes/no,B0002Z1GLA,"Mar 23, 2014",1395558000.0,will this replace my kenmore 10626636,?,"whirlpoole makes sears kenmore, the only thing to check is the electrial. does the clip have the same fitting, number of wires. my problem was the water input valve not the ice maker",Appliances
open-ended,B0002Z1GLA,"Mar 5, 2014",1394006400.0,this will fit a S106 626636 model whirlpool ICE MAKER? Replace wires too or standard with the replacememnt kit?,,wires were included with the kit,Appliances
open-ended,B00062ASSG,"May 16, 2014",1400223600.0,"Does this stopper fit down into the drain, or at the top of the drain so that it sticks out into the basin of the sink?",,Mine fits down in the drain with nothing sticking out into the sink.,Appliances
open-ended,B00062ASSG,"Aug 27, 2013",1377586800.0,what are the dimensions? This seems to be a bit large,,"There are (2) dimensions. Inner seal is a 3 inch diameter seal, which sits inside the basket. The second dimension is the overall ""lip"" which seals the inner seal of the basket; 3 1/4 inch diameter.",Appliances
yes/no,B00062ASSG,"Apr 15, 2014",1397545200.0,Is this easier to pull out than the plastic stopper?,Y,"Yes. It is almost flat and, therefore does not go deep into the drain. It does, however, rust!",Appliances
open-ended,1574896938,"Jul 8, 2014",1404802800.0,How many stamps are included?,,"Hi Elisabethsmum, there are 11 stamps in this set, with one ink pad",Arts Crafts and Sewing
yes/no,1574896938,"Jan 29, 2014",1390982400.0,"I live in Chile, and I would like to buy the ""Par avion"", ""Numbers &amp; Symbols"" and ""Lowercase alphabet"" sets . Is it possible for you to send them?",N,"Thank you for contacting POMP & POSEY. Sorry we do not ship internationally on Amazon. Please feel free to contact us with any qiestions. Thank you again, POMP & POSEY",Arts Crafts and Sewing
yes/no,1574896938,"Jan 15, 2014",1389772800.0,"Good Afternoon. I live in Portugal and I would like to buy the ""Par Avion"" set of stamps. Is there anyway you could send it?",Y,Yes. Give us the address we will estimate the shipping cost.,Arts Crafts and Sewing
open-ended,1574898973,"Feb 20, 2013",1361347200.0,What is the actual size of the numbers...mainly the height?,,"The numbers are inside the negative space, the area around the number is what gets stamped with unique sized rectangles. They all vary, but roughly 2"" is average height.",Arts Crafts and Sewing
open-ended,1574898973,"Feb 2, 2014",1391328000.0,"How large is the largest number? 3""?, etc",,"Not even 3"", closer to 1.5"". Fits inside a business card with enough room to write above.",Arts Crafts and Sewing
open-ended,1574898973,"Mar 2, 2014",1393747200.0,How big are the numbers? I am looking to use them for my daughter's wedding for place cards.,,"They vary in size, most between 2 and 3 inches in size.",Arts Crafts and Sewing
yes/no,B00000ISUU,"Jan 14, 2015",1421222400.0,would this be a good gift for our grandson that will be 5yrs old next month?,?,Very noisy Needs to be in closed area...I'd say yes in concept no in execution....did not work out as I thought for our 7 yr old granddaughter who collects rocks,Arts Crafts and Sewing
yes/no,B00000ISUU,"Jan 19, 2014",1390118400.0,I have some rocks I've collected from around the world and want them polished. Is this product capable of making my already pretty stones gorgeous?,Y,"Not really, unfortunately :( This is a great kit for kids who are interested in Rock tumbling, but that's about all. My son's got polished and he was happy, but it didn't do the best job and the heavier rocks definitely crumbles the lighter, more fragile rocks.",Arts Crafts and Sewing
open-ended,B00000ISUU,"Mar 15, 2014",1394866800.0,Can I make sea glass in this tumbler and is it made to hold water?,,"The tumbler even with the seal wasn't completely water tight, and there was much leakage with the month long grinding and tumbling. Using the supplied stones and shopped accessory stones packages we got very good results. Some of the stones took on a translucent appearance, while the others smoothed out and had gloss finish when done. As far as sea glass, I don't know.",Arts Crafts and Sewing
yes/no,B00000ISUU,"Dec 5, 2013",1386230400.0,Does this use an American power plug and socket?,Y,yes,Arts Crafts and Sewing
open-ended,B00000ISUU,"Nov 23, 2013",1385193600.0,Can someone please tell me the dimensions of the barrel itself? Height &amp; Width. Thank you!,,"The tumbler is 9""L x 5""H x 5"" W. The cyclinder holds approx. 1.5 cups of material. Hope this helps.",Arts Crafts and Sewing
open-ended,B00000ISUU,23 days ago,,Can anyone tell me what kind of metal is used for the jewelry making pieces?,,"it's not metal, the jewelry mounts are plasti",Arts Crafts and Sewing
yes/no,B00000ISUU,"Mar 24, 2015",1427180400.0,Is the red tumbling container supposed to turn all the way round? Ours just seems to rock from side to side.,?,In the paperwork it says how to remedy or prevent that. I never had any luck with it and returned it since in my opinion it really is not worth the money or the noise for several weeks.,Arts Crafts and Sewing
yes/no,B00000ISUU,"Mar 16, 2015",1426489200.0,can i tumble larger rocks like rose quartz?,?,I do not know. I purchased the tumbler for my great nephew. I do not know if he has tried to polish a stone. Sorry.,Arts Crafts and Sewing
open-ended,B00000ISUU,"Dec 27, 2014",1419667200.0,How much grit do you use? I put 1 T coarse grit in my first batch of rocks and it ate through the plastic barrel. Did I use too much??,,"I used the 3 bags of 3 different course grit that came with the tumbler. The course compound turned for 5 continuous weeks. Medium grit for 8 days, and polishing grit for 10 days. There is wear in the interior of the plastic drum, but no more then I expected. Next batch, I'll use two extra grades of polish. The rocks came out smooth but not as polished/shiny as I expected. Purchased for the rocks our granddaughter ""mined"" at a hunted Halloween mine. We made necklaces and key chains for her to give as Xmas presents. For more serious crafting/jewelry, I'd recommend a more professional tumbler.",Arts Crafts and Sewing
yes/no,B00000ISUU,"Dec 9, 2014",1418112000.0,Does the Original Rock Tumbler have a rubber insert to protect the plastic casing?,N,"No it does not. First time, ran continuous for five weeks. There is wear to the inside of the plastic drum. SUGGESTION: can be noisy, run it in a remote location (garage). Coat the rubber ring/gasket w/grease, no leaks.",Arts Crafts and Sewing
yes/no,B00000J3LY,"May 15, 2014",1400137200.0,Can it be used in a laser printer?,?,No it doesnt work with a laser printer so I had to use an ink jet printer.,Arts Crafts and Sewing
open-ended,B00000J3LY,"Sep 6, 2014",1409986800.0,Is this for dark fabric or white,,I purchased with the intent to use on dark fabric but it did not work.,Arts Crafts and Sewing
open-ended,B00000J3LY,23 days ago,,"Has anyone tried to transfer drawings using these? As in coloring/drawing on them with markers, crayons, etc. then applying them to clothing?",,I'm not sure but it doesn't hold up very well. I've done 1 shirt so far and after washing it once it was faded and cracked.,Arts Crafts and Sewing
open-ended,B00000J3LY,"Feb 9, 2015",1423468800.0,Are these transparancies white or clear?,,"They are rather translucent. But really you don't want to iron blank areas onto your fabric. I cut around my image the best as I can to remove any of the ""unused"" transfer, before I begin to iron. If the blank areas are ""within"" your image, or not very large, I would not worry about them and just iron over them. But do remove any blank transfers around the edge of your image. I hope this helps",Arts Crafts and Sewing
open-ended,B00000J3LY,"Feb 8, 2015",1423382400.0,do i need a commercial heat press for printing in a t-shirt? or a domestic iron?,,"just a iron will do. I foyu ar printing on dark fabric, make sure you get the transfer for light fabric. Same for dark fabric, make sure it for dark fabric.",Arts Crafts and Sewing
open-ended,B00000J3LY,"Jan 22, 2015",1421913600.0,How does the image reverse itself?,,You pull the image into a photo editing software and flip the image to the right. When it is printed it will be the way you want it.,Arts Crafts and Sewing
yes/no,B00000J3LY,"Dec 30, 2014",1419926400.0,Can I use a hp photosmart 7525 to print on this paper?,Y,Any inkjet printer should work. I used a hp photosmart 8150 and it worked like a charm.,Arts Crafts and Sewing
open-ended,B00000J3LY,"Oct 13, 2014",1413183600.0,I need to make 24 pillow cases with the same design. Will I need a transfer sheet for each pillowcase - or can they be reused?,,Yeh a transfer for each pillow is needed.,Arts Crafts and Sewing
yes/no,B00000J3LY,"Aug 23, 2014",1408777200.0,Does it work on HP 4500 series?,?,"I'm sure it works on Ink Jet and any kind of printer you use . . .Most printing companies, like Kinkos, won't let me print on HP Iron-On . . .They say it gets jammed . .I use the new HP 1000 series printer - it works really well . . .",Arts Crafts and Sewing
yes/no,B00000J3LY,"Jul 20, 2014",1405839600.0,would this transfer well to vinyl fabric?,Y,I think it will . .I know it transfers to cotton . . but anything similar to cotton fiber should work . . .I'd try it out . .remember -- iron in multiple directions for 3 minutes . .let it cool for 10 minutes . . then peel . . .,Arts Crafts and Sewing
open-ended,B00004THXI,"Mar 24, 2014",1395644400.0,How long does it last?,,"The paints are not moist and must be mixed with water to paint and blend. I like this for travel. I've taken them on several trips and they have not deteriorated. So I would say they are hardy and durable. Sometimes I prefer them to my tube watercolors as they are quick, convenient and easy.",Arts Crafts and Sewing
yes/no,B00004THXI,"Apr 21, 2014",1398063600.0,"Is the case air tight , non leaking for travel?",?,"Not airtight, but the paints are solid cakes. If you let them dry after use, there's nothing that can leak.",Arts Crafts and Sewing
open-ended,B00004THXI,"Apr 13, 2014",1397372400.0,What are names of the 12 colors in the box?,,"Cadmium Red Hue, Cadmium Yellow Hues,Alizarin red, Ultramarine Blue, Cobalt Blue, Sap Green, Burnt Umber, Viridian, Chinese white, Yellow Ochre. Raw Sienna. Basic solid , vibrant pigments.",Arts Crafts and Sewing
yes/no,B00004THXI,"Jul 10, 2014",1404975600.0,"Is this easy to hold in one hand, seeing that the lid is attached?",?,"It is quite light weight, so if your hand is large, I suppose so. It does NOT have an incorporated thumb loop. I instead always find some handy level surface to place it while plein aire painting. I can't imagine waving it about with a runny wash preparing in a mixing well. Oddly, the W&N Traveler's box with bottle, sponge, etc. although having a thumb loop is even more ridiculous when held aloft, with fold-out mixing areas never quite level, etc.! Having said this, I believe the W&N half-pan box questioned is the very best entry-level kit available. You'll need to augment it with something like a Cotman 3/8"" flat was however, the included minuscule brush is too tiny.",Arts Crafts and Sewing
yes/no,B00004THXI,"Jul 23, 2014",1406098800.0,Can you give me a link to the refill colors for this?,?,"They sell half pans here on Amazon, just search for Cotman pans for whatever color you want. You can also refill the pans with tube colors which is more economical. I think there is a 12 tube cotman set that probably has the same colors, or you can buy one tube at a time. It is definitely less expensive to buy them in a set though. The Koi/Sakura 18 tube set is really nice and of similar quality. I recommend it for refilling the pans when they are used up.",Arts Crafts and Sewing
open-ended,B00004THXI,"Jul 31, 2014",1406790000.0,What are the 12 colors in the box?,,"Cadmium Yellow Pale Hue, Ultramarine, Yellow Ochre, Cadmium Yellow Hue, Cobalt Blue Hue, Burnt Sienna, Cadmium Red Pale Hue, Sap Green, Burnt Umber, Alizarin Crimson, Viridian Hue, and Chinese White",Arts Crafts and Sewing
open-ended,B00004THXI,"Jul 7, 2014",1404716400.0,Should I purchase the set of 12 or the set of 45? For me painting is only a hobby and I paint mostly in my art journals.,,Personally 45 is too many colors for me. I paint as a hobby too and don't even use all the colors here. Although I wish I could pick the 12 I get! You might go for the 24 color Cotman travel pallet and split the difference. This one is hard to use unless you are doing something really small because the mixing area is so very very small. I would actually recommend the Koi 24 color watercolor box. It is really good and has plenty of mixing space. I went through a phase of wanting to try different brands and small palettes and have gone back to the Koi for small projects like my journal.,Arts Crafts and Sewing
open-ended,B00004THXI,"Jul 9, 2014",1404889200.0,please fix the price. i shop for art supplies on Amazon frequently - it's ridiculous that you have this listed as a $1970.00 item,,"Good afternoon, You are quite right; although I am not certain why this error has come about, we will ask Amazon to correct the price. Sincerely, Tarot Barnes Product Data Controller The Society for All Artists",Arts Crafts and Sewing
open-ended,B00004THXI,3 days ago,,How does this compare in paint quality to sakura koi 12 color pocket set?,,"I've never used Sakura Koi water colors...but I am sure it's a good choice. I'm use to using Winsor Newton brand products and like their quality. Like may artists, I use more than one brand of watercolors sets. I also love using my Pelikan 24 watercolor set. Sakura Koi has very good reviews...I may pick try that brand someday.",Arts Crafts and Sewing
yes/no,B00004THXI,"Feb 26, 2015",1424937600.0,is there anywhere I can purchase a replacement brush? I lost the cute folding one that came with the set.,?,"I had a hard time finding the brush as well. I have bought the small travel set just to get the brush! I believe you can find some on ebay under ""pocket brush"" or Cotman series 111. I hope this helps.",Arts Crafts and Sewing
open-ended,B00004TS2H,"May 12, 2014",1399878000.0,How many pack can i get with $ 35 ?!,,"Well, since one pack costs about $10, $30 should get you 3 packs. And you have $5 remaining. Gotta love math.",Arts Crafts and Sewing
yes/no,B00004TS2H,"Feb 11, 2014",1392105600.0,Can this be used with a laser printer,?,"Definitely not, it is designed for inkjet printers and it could possible damage your laser printer if you where to try and use them.",Arts Crafts and Sewing
yes/no,B00004TS2H,"Aug 23, 2014",1408777200.0,Can these be used on Lycra t shirts/tank tops?,?,It doesn't work well on stretchy material. Distorts and cracks picture. Although this brand doesn't last more than a day anyhow.,Arts Crafts and Sewing
open-ended,B00004TS2H,"Nov 1, 2014",1414825200.0,Is this for white shirts or dark shirts?,,The actual packaging says for light colors only.,Arts Crafts and Sewing
open-ended,B00004TS2H,"Apr 15, 2014",1397545200.0,"after applying these to t-shirts, will it also transfer that nasty background border around what was printed ? or just the color from your printer?",,The entire iron on is transferred to the shirt not just the image. It is clear but can look kind of dingy. I had an issue with this at first because little tiny hairs or fuzz was getting trapped under the transfer and it looked gross. I just trimmed around the image leaving only about a quarter inch border and it looked much better.,Arts Crafts and Sewing
open-ended,B00004TS2H,"Mar 20, 2015",1426834800.0,is background white or transparent?,,The background is white.,Arts Crafts and Sewing
yes/no,B00004TS2H,"Mar 9, 2015",1425884400.0,Would it be able to cover black letters on a white shirt? (I just want the shirt to be white so the product has to be white not see through.),Y,"Yes but you have to edge cut the letters because if there is white paper when ironing, it will turn yellow on the shirt.",Arts Crafts and Sewing
yes/no,B00004TS2H,"Mar 1, 2015",1425196800.0,Can you print with an inkjet?,?,Yes..that is what I used but Epson takes more time and heat to transfer than Hp brand.,Arts Crafts and Sewing
yes/no,B00004TS2H,"Nov 25, 2014",1416902400.0,Does this work on a canvas board (artist canvas)? Thank you.,N,No,Arts Crafts and Sewing
open-ended,B00004TS2H,"Nov 1, 2014",1414825200.0,It have to be ironed? Can it used on acrylic?,,"This is a terrible product. I believe it has to be ironed but doesn't stick worth a darn. I ironed on to prewashed t shirts, and the parts that did stick peeled off as we wore them. I have used similar products hundreds of times with much much better results. I found it to be a complete waste of time and money..cost of the paper, ruined t shirts, and computer ink it became a very very expensive and disappointing project.",Arts Crafts and Sewing
yes/no,B00004UE4F,"May 31, 2014",1401519600.0,Has anyone tried to print onto the sheets to make custom coloring sheets?,Y,Yes I have used both inkjet and a laser printer on the color wonder paper. It works well with both. You will want to allow a little time for it to dry after you print.,Arts Crafts and Sewing
yes/no,B00004UE4F,"Oct 24, 2013",1382598000.0,"Can these be used to make cut-out decorations like snowflakes? Please don't answer ""I don't know""",?,Of course you can make cut outs. This is just a book of blank coloring pages that are used with the color wonder markers/paint/etc. One side has a slight sheen. Good luck!,Arts Crafts and Sewing
yes/no,B00004UE4F,4 days ago,,Can you color on both sides of the sheet of paper with the special markers? Toddler likes to turn page over half way through her scribbles.,N,No,Arts Crafts and Sewing
yes/no,B00004UE4F,"Feb 2, 2015",1422864000.0,Does this pad fit in the color wonder travel case?,Y,Yes,Arts Crafts and Sewing
yes/no,B00004UE4F,"Jan 25, 2015",1422172800.0,Does this work with Color Wonder paints?,?,It says it does. We've never tried.,Arts Crafts and Sewing
yes/no,B00004UE4F,"Dec 13, 2014",1418457600.0,What is the difference between crayola Color Wonder and the Crayola Color Wonder Mess-Free products? Are the products interchangeable,?,"I believe they are the same. My child's color wonder book says ""mess free"" at the top. Hope this helps!",Arts Crafts and Sewing
open-ended,B00004UE4F,"Nov 2, 2014",1414911600.0,Do the sheets of paper come connected in a pad or a book or are they loose?,,The paper my Granddaughter has is a pad of letter-size paper (8 1/2 by 11).,Arts Crafts and Sewing
open-ended,B00004UE4F,"Oct 23, 2014",1414047600.0,Can you use regular markers on this paper or color wonder only?,,"Yes, you can use regular markers or crayons or anything on the paper. But the color wonder markers only work on the special paper.",Arts Crafts and Sewing
yes/no,B00004UE4F,"Sep 8, 2014",1410159600.0,Would this be fun for a six year old?,?,"My grandson doesn't sit still very long. When he does he is usually watching cartoons, so we haven't used this much. A 6 year old, that is interested in drawing might be more inclined to sitting still more than a 4 year old.",Arts Crafts and Sewing
yes/no,B00004UE4F,"Jun 12, 2014",1402556400.0,Will this paper work with the My First No Mess paper and marker set (toddler grip cow marker)?,?,This paper is designed to only work with the Crayola Colour Wonder markers.,Arts Crafts and Sewing
yes/no,B00004YO15,"Dec 5, 2013",1386230400.0,Are these crayons non-toxic?,Y,Yes! And crayola crayons are still made in the USA! The factory is in PA!,Arts Crafts and Sewing
yes/no,B00004YO15,"Feb 24, 2014",1393228800.0,Are these washable crayons?,N,"no this version is not ""washable"" but should you child use them on your walls I have found the magic eraser works wonders on removing crayon marks from walls and toys ad tables the dollar store brand ""magic eraser"" works good",Arts Crafts and Sewing
open-ended,B00004YO15,"Jan 22, 2014",1390377600.0,Are there 64 different colors or just 64 pieces of crayons?,,There are 64 different colors.,Arts Crafts and Sewing
open-ended,B00004YO15,"Dec 11, 2014",1418284800.0,"Does the sharpener contain metal, or is it completely plastic?",,"Completely plastic.I could'nt get it to work every time I tried sharpening the crayon ,the crayon woud break.",Arts Crafts and Sewing
yes/no,B00004YO15,"Nov 22, 2014",1416643200.0,Has the shipping issue been resolved? There are too many complains about broken crayons in the reviews section,?,Our company has had no issues,Arts Crafts and Sewing
yes/no,B00004YO15,"Mar 18, 2015",1426662000.0,Does this pack have the sharpener in the back of the box?,Y,Yes,Arts Crafts and Sewing
open-ended,B00004YO15,"Jan 7, 2015",1420617600.0,What are the dimensions of the crayon box? Is it 5.7 x 5 inches as stated on the site?,,The dimensions are 5.7 X 5 Inches as stated on the site. These figures are correct,Arts Crafts and Sewing
open-ended,B00004YO15,"Dec 22, 2013",1387699200.0,Where is the origin of the goods,,USA,Arts Crafts and Sewing
yes/no,B00004YO15,"Oct 2, 2013",1380697200.0,Do all of the 64 count crayolas have pictures of white kids on them?,?,"I haven't been out shopping around and quite frankly I never noticed there being a kid on the box. I just saw, crayons and 64 of them so I don't know if there are different races of children on all the boxes or not. Mine, had a Caucasian child on the front now that I look at it.",Arts Crafts and Sewing
open-ended,B00004YO15,"May 14, 2014",1400050800.0,what is the difference between pack 1 and pack 2?,,"Pack 1 is an ""add on"" item and is greatly discounted. To get it at the ""add on"" price you have to spend a minimum of $25 worth of Prime merchandise. Pack 2 is the regular price if you just buy it alone or if you don't spend that $25 minimum. Other than that there is no difference in the item.",Arts Crafts and Sewing
